bin,avg_amp,N_avg_amp,,freq,N_freq
   0,    5,        0,,    53700787.401575,     0
   1,   15,        0,,    53750000.000000,     0
   2,   25,        0,,    53799212.598425,     0
   3,   35,        0,,    53848425.196850,     0
   4,   45,        0,,    53897637.795276,     0
   5,   55,        0,,    53946850.393701,     0
   6,   65,     1105,,    53996062.992126,     0
   7,   75,      467,,    54045275.590551,     0
   8,   85,      227,,    54094488.188976,     0
   9,   95,      129,,    54143700.787402,     0
  10,  105,       52,,    54192913.385827,     0
  11,  115,       17,,    54242125.984252,     0
  12,  125,        8,,    54291338.582677,     0
  13,  135,        1,,    54340551.181102,     0
  14,  145,        1,,    54389763.779528,     0
  15,  155,        1,,    54438976.377953,     0
  16,  165,        0,,    54488188.976378,     0
  17,  175,        0,,    54537401.574803,     0
  18,  185,        0,,    54586614.173228,     0
  19,  195,        0,,    54635826.771654,     1
  20,  205,        0,,    54685039.370079,     0
  21,  215,        0,,    54734251.968504,     0
  22,  225,        0,,    54783464.566929,     0
  23,  235,        0,,    54832677.165354,     1
  24,  245,        0,,    54881889.763780,     2
  25,  255,        0,,    54931102.362205,     1
  26,  265,        0,,    54980314.960630,     0
  27,  275,        0,,    55029527.559055,     0
  28,  285,        0,,    55078740.157480,     0
  29,  295,        0,,    55127952.755906,     1
  30,  305,        0,,    55177165.354331,     0
  31,  315,        0,,    55226377.952756,     0
  32,  325,        0,,    55275590.551181,     1
  33,  335,        0,,    55324803.149606,     1
  34,  345,        0,,    55374015.748031,     0
  35,  355,        0,,    55423228.346457,     0
  36,  365,        0,,    55472440.944882,     0
  37,  375,        0,,    55521653.543307,     0
  38,  385,        0,,    55570866.141732,     1
  39,  395,        0,,    55620078.740157,     8
  40,  405,        0,,    55669291.338583,    11
  41,  415,        0,,    55718503.937008,     0
  42,  425,        0,,    55767716.535433,     0
  43,  435,        0,,    55816929.133858,     0
  44,  445,        0,,    55866141.732283,     3
  45,  455,        0,,    55915354.330709,     1
  46,  465,        0,,    55964566.929134,     1
  47,  475,        0,,    56013779.527559,     0
  48,  485,        0,,    56062992.125984,     1
  49,  495,        0,,    56112204.724409,     0
  50,  505,        0,,    56161417.322835,     1
  51,  515,        0,,    56210629.921260,     2
  52,  525,        0,,    56259842.519685,     0
  53,  535,        0,,    56309055.118110,     2
  54,  545,        0,,    56358267.716535,     0
  55,  555,        0,,    56407480.314961,     2
  56,  565,        0,,    56456692.913386,     0
  57,  575,        0,,    56505905.511811,     0
  58,  585,        0,,    56555118.110236,     2
  59,  595,        0,,    56604330.708661,     0
  60,  605,        0,,    56653543.307087,     6
  61,  615,        0,,    56702755.905512,     2
  62,  625,        0,,    56751968.503937,     0
  63,  635,        0,,    56801181.102362,     2
  64,  645,        0,,    56850393.700787,     0
  65,  655,        0,,    56899606.299213,     0
  66,  665,        0,,    56948818.897638,     0
  67,  675,        0,,    56998031.496063,     0
  68,  685,        0,,    57047244.094488,    20
  69,  695,        0,,    57096456.692913,     1
  70,  705,        0,,    57145669.291339,     2
  71,  715,        0,,    57194881.889764,     0
  72,  725,        0,,    57244094.488189,     0
  73,  735,        0,,    57293307.086614,     1
  74,  745,        0,,    57342519.685039,     0
  75,  755,        0,,    57391732.283465,     0
  76,  765,        0,,    57440944.881890,     3
  77,  775,        0,,    57490157.480315,     1
  78,  785,        0,,    57539370.078740,     0
  79,  795,        0,,    57588582.677165,     0
  80,  805,        0,,    57637795.275591,     0
  81,  815,        0,,    57687007.874016,     0
  82,  825,        0,,    57736220.472441,     0
  83,  835,        0,,    57785433.070866,     1
  84,  845,        0,,    57834645.669291,     0
  85,  855,        0,,    57883858.267717,     0
  86,  865,        0,,    57933070.866142,     0
  87,  875,        0,,    57982283.464567,     0
  88,  885,        0,,    58031496.062992,     1
  89,  895,        0,,    58080708.661417,     1
  90,  905,        0,,    58129921.259843,     2
  91,  915,        0,,    58179133.858268,    20
  92,  925,        0,,    58228346.456693,     0
  93,  935,        0,,    58277559.055118,     0
  94,  945,        0,,    58326771.653543,     1
  95,  955,        0,,    58375984.251969,     0
  96,  965,        0,,    58425196.850394,     0
  97,  975,        0,,    58474409.448819,    26
  98,  985,        0,,    58523622.047244,     8
  99,  995,        0,,    58572834.645669,    10
 100, 1005,        0,,    58622047.244094,     0
 101, 1015,        0,,    58671259.842520,     2
 102, 1025,        0,,    58720472.440945,     1
 103, 1035,        0,,    58769685.039370,     3
 104, 1045,        0,,    58818897.637795,     1
 105, 1055,        0,,    58868110.236220,     0
 106, 1065,        0,,    58917322.834646,     0
 107, 1075,        0,,    58966535.433071,     0
 108, 1085,        0,,    59015748.031496,     2
 109, 1095,        0,,    59064960.629921,     1
 110, 1105,        0,,    59114173.228346,     4
 111, 1115,        0,,    59163385.826772,     4
 112, 1125,        0,,    59212598.425197,     3
 113, 1135,        0,,    59261811.023622,     0
 114, 1145,        0,,    59311023.622047,     0
 115, 1155,        0,,    59360236.220472,     0
 116, 1165,        0,,    59409448.818898,     0
 117, 1175,        0,,    59458661.417323,     1
 118, 1185,        0,,    59507874.015748,     3
 119, 1195,        0,,    59557086.614173,     0
 120, 1205,        0,,    59606299.212598,     0
 121, 1215,        0,,    59655511.811024,     2
 122, 1225,        0,,    59704724.409449,     2
 123, 1235,        0,,    59753937.007874,     0
 124, 1245,        0,,    59803149.606299,     0
 125, 1255,        0,,    59852362.204724,     6
 126, 1265,        0,,    59901574.803150,    26
 127, 1275,        0,,    59950787.401575,     4
 128, 1285,        0,,    60000000.000000,     1
 129, 1295,        0,,    60049212.598425,     3
 130, 1305,        0,,    60098425.196850,     0
 131, 1315,        0,,    60147637.795276,     1
 132, 1325,        0,,    60196850.393701,     3
 133, 1335,        0,,    60246062.992126,     0
 134, 1345,        0,,    60295275.590551,     9
 135, 1355,        0,,    60344488.188976,     0
 136, 1365,        0,,    60393700.787402,    13
 137, 1375,        0,,    60442913.385827,     1
 138, 1385,        0,,    60492125.984252,     0
 139, 1395,        0,,    60541338.582677,     8
 140, 1405,        0,,    60590551.181102,     0
 141, 1415,        0,,    60639763.779528,     0
 142, 1425,        0,,    60688976.377953,     2
 143, 1435,        0,,    60738188.976378,     0
 144, 1445,        0,,    60787401.574803,     1
 145, 1455,        0,,    60836614.173228,     0
 146, 1465,        0,,    60885826.771654,     0
 147, 1475,        0,,    60935039.370079,     0
 148, 1485,        0,,    60984251.968504,     0
 149, 1495,        0,,    61033464.566929,     1
 150, 1505,        0,,    61082677.165354,     5
 151, 1515,        0,,    61131889.763780,     1
 152, 1525,        0,,    61181102.362205,     2
 153, 1535,        0,,    61230314.960630,     3
 154, 1545,        0,,    61279527.559055,     0
 155, 1555,        0,,    61328740.157480,     1
 156, 1565,        0,,    61377952.755906,     0
 157, 1575,        0,,    61427165.354331,     2
 158, 1585,        0,,    61476377.952756,    10
 159, 1595,        0,,    61525590.551181,     5
 160, 1605,        0,,    61574803.149606,     0
 161, 1615,        0,,    61624015.748031,     1
 162, 1625,        0,,    61673228.346457,     3
 163, 1635,        0,,    61722440.944882,     9
 164, 1645,        0,,    61771653.543307,     0
 165, 1655,        0,,    61820866.141732,     2
 166, 1665,        0,,    61870078.740157,     0
 167, 1675,        0,,    61919291.338583,     4
 168, 1685,        0,,    61968503.937008,     0
 169, 1695,        0,,    62017716.535433,    14
 170, 1705,        0,,    62066929.133858,     0
 171, 1715,        0,,    62116141.732283,     0
 172, 1725,        0,,    62165354.330709,    23
 173, 1735,        0,,    62214566.929134,     7
 174, 1745,        0,,    62263779.527559,     9
 175, 1755,        0,,    62312992.125984,     4
 176, 1765,        0,,    62362204.724409,     0
 177, 1775,        0,,    62411417.322835,   107
 178, 1785,        0,,    62460629.921260,  1141
 179, 1795,        0,,    62509842.519685,     8
 180, 1805,        0,,    62559055.118110,     2
 181, 1815,        0,,    62608267.716535,     1
 182, 1825,        0,,    62657480.314961,     4
 183, 1835,        0,,    62706692.913386,     1
 184, 1845,        0,,    62755905.511811,    12
 185, 1855,        0,,    62805118.110236,    52
 186, 1865,        0,,    62854330.708661,     6
 187, 1875,        0,,    62903543.307087,     1
 188, 1885,        0,,    62952755.905512,     2
 189, 1895,        0,,    63001968.503937,    12
 190, 1905,        0,,    63051181.102362,     6
 191, 1915,        0,,    63100393.700787,     0
 192, 1925,        0,,    63149606.299213,     1
 193, 1935,        0,,    63198818.897638,     9
 194, 1945,        0,,    63248031.496063,     4
 195, 1955,        0,,    63297244.094488,     9
 196, 1965,        0,,    63346456.692913,     3
 197, 1975,        0,,    63395669.291339,     4
 198, 1985,        0,,    63444881.889764,     6
 199, 1995,        0,,    63494094.488189,     0
 200, 2005,        0,,    63543307.086614,     3
 201, 2015,        0,,    63592519.685039,     3
 202, 2025,        0,,    63641732.283465,    16
 203, 2035,        0,,    63690944.881890,     1
 204, 2045,        0,,    63740157.480315,     8
 205, 2055,        0,,    63789370.078740,     7
 206, 2065,        0,,    63838582.677165,     1
 207, 2075,        0,,    63887795.275591,     0
 208, 2085,        0,,    63937007.874016,    11
 209, 2095,        0,,    63986220.472441,    14
 210, 2105,        0,,    64035433.070866,    19
 211, 2115,        0,,    64084645.669291,     1
 212, 2125,        0,,    64133858.267717,     5
 213, 2135,        0,,    64183070.866142,     1
 214, 2145,        0,,    64232283.464567,    12
 215, 2155,        0,,    64281496.062992,     4
 216, 2165,        0,,    64330708.661417,     1
 217, 2175,        0,,    64379921.259843,     4
 218, 2185,        0,,    64429133.858268,    60
 219, 2195,        0,,    64478346.456693,     0
 220, 2205,        0,,    64527559.055118,     0
 221, 2215,        0,,    64576771.653543,     4
 222, 2225,        0,,    64625984.251969,     0
 223, 2235,        0,,    64675196.850394,    39
 224, 2245,        0,,    64724409.448819,     5
 225, 2255,        0,,    64773622.047244,     2
 226, 2265,        0,,    64822834.645669,    18
 227, 2275,        0,,    64872047.244094,     0
 228, 2285,        0,,    64921259.842520,     0
 229, 2295,        0,,    64970472.440945,     0
 230, 2305,        0,,    65019685.039370,     0
 231, 2315,        0,,    65068897.637795,     0
 232, 2325,        0,,    65118110.236220,     1
 233, 2335,        0,,    65167322.834646,     1
 234, 2345,        0,,    65216535.433071,     0
 235, 2355,        0,,    65265748.031496,     1
 236, 2365,        0,,    65314960.629921,     0
 237, 2375,        0,,    65364173.228346,    10
 238, 2385,        0,,    65413385.826772,     0
 239, 2395,        0,,    65462598.425197,     0
 240, 2405,        0,,    65511811.023622,     0
 241, 2415,        0,,    65561023.622047,     0
 242, 2425,        0,,    65610236.220472,     0
 243, 2435,        0,,    65659448.818898,     1
 244, 2445,        0,,    65708661.417323,     0
 245, 2455,        0,,    65757874.015748,     0
 246, 2465,        0,,    65807086.614173,     0
 247, 2475,        0,,    65856299.212598,     0
 248, 2485,        0,,    65905511.811024,     0
 249, 2495,        0,,    65954724.409449,     0
 250, 2505,        0,,    66003937.007874,     0
 251, 2515,        0,,    66053149.606299,     0
 252, 2525,        0,,    66102362.204724,     0
 253, 2535,        0,,    66151574.803150,     0
 254, 2545,        0,,    66200787.401575,     0
 255, 2555,        0,,    66250000.000000,     0
,Totals,     2008,,,  2008
